Новостройки,Оценка,Автор отзыва,Отзыв,Отзывы очищенные,RuterExtractor,Ключевые слова BERT,Ключевые слова YAKE,Все ключевые слова YAKE,Ключевые слова rake,Ключевые слова RAKE,Ключевые слова_filtered,
Новый город,Положительная,Иван Улегин,Лучший микрорайон,лучший микрорайон,,"лучший микрорайон, лучшим микрорайоном, микрорайон лучшего, лучших районов, мусоркии лавочки, чистый микрорайон, красивый микрорайон, отличный микрорайон, районе лучший, праздники микрорайон",['лучший микрорайон'],лучший микрорайон,лучший микрорайон,"лучший, микрорайон",лучший микрорайон,
Новый город,Положительная,алексей шумов,"Хороший район! Строится еще правда! Не все детские площадки оборудованы, но будет очень красиво и удобно!",хороший район строится правда детские площадки оборудованы очень красиво удобно,хороший район,"качественных стройматериалов, площадки оборудованные, достопримечательностью подкачали, благоустройство хорошее, производства работавшего, главной достопримечательностью, облагородить комплекс, предлагающих бронирование, большинства костромичей, площадки оборудованы","['хороший район строится', 'строится правда детские', 'правда детские площадки', 'красиво удобно', 'оборудованы очень красиво', 'район']","хороший район строится, строится правда детские, правда детские площадки, красиво удобно, оборудованы очень красиво, район",хороший район строится правда детские площадки оборудованы очень красиво удобно,"хороший, район, строится, правда, детские, площадки, оборудованы, очень, красиво, удобно",хороший район строится правда детские площадки оборудованы очень красиво удобно,
Новый город,Положительная,Елена Ремезова,Очень уютный Новый микрорайон.,очень уютный новый микрорайон,уютный новый микрорайон,"новый микрорайон, уютный микрорайон, обычный многоквартирный, отличный микрорайон, низкие остальное, несколько магазинов, обратить внимание, новым оборудованием, эволюционирует некоторые, микрорайон новый","['уютный новый микрорайон', 'уютный']","уютный новый микрорайон, уютный",очень уютный новый микрорайон,"очень, уютный, новый, микрорайон",очень уютный новый микрорайон,
Новый город,Положительная,MamKatya,"Считаю удобным расположение микрорайона,дополненного новым детским садиком !",считаю удобным расположение микрорайона дополненного новым детским садиком,,"достопримечательностью подкачали, подключаемой водоснабжению, качественных стройматериалов, взаимодействие собственниками, недочёты благоустройству, главной достопримечательностью, достопримечательности музеи, подобными застройщиками, давыдовский непривычно, удобным расположение","['считаю удобным расположение', 'новым детским садиком', 'расположение микрорайона дополненного', 'дополненного новым детским', 'считаю', 'удобным', 'микрорайона']","считаю удобным расположение, новым детским садиком, расположение микрорайона дополненного, дополненного новым детским, считаю, удобным, микрорайона",считаю удобным расположение микрорайона дополненного новым детским садиком,"считаю, удобным, расположение, микрорайона, дополненного, новым, детским, садиком",считаю удобным расположение микрорайона дополненного новым детским садиком,
Новый город,Положительная,Сергей Алексеев,Спокойной новый район,спокойной новый район,,"спокойной новый, спокойный район, спокойной микрорайон, спокойный двор, современный район, спокойно движение, симпотичный автономное, современный микрорайон, собственной планировкой, собственниками налажено","['спокойной новый район', 'район', 'новый']","спокойной новый район, район, новый",спокойной новый район,"спокойной, новый, район",спокойной новый район,
Новый город,Нейтральная,Alexandr,Типичный район в типичном городе,типичный район типичном городе,типичный район,"типичном городе, район типичном, типичный район, перегородкам трещины, технике подключаемой, площадки торговый, домов кирпичного, планировки трехкомнатных, туберкулезником удачи, торговый комплекс","['типичный район типичном', 'городе', 'район']","типичный район типичном, городе, район",типичный район типичном городе,"типичный, район, типичном, городе",типичный район типичном городе,
Новый город,Положительная,Марти Макфлай,Отличный район,отличный район,отличный район,"отличный район, ухоженный район, район окруженный, район построили, идеальный район, район построенный, прекрасный район, отличный микрорайон, уютный район, район компактный",['отличный район'],отличный район,отличный район,"отличный, район",отличный район,
"На ул. Костромской, 100",Положительная,Жидков  Слава,"Прекрасное расположение . Отлично развита инфраструктура. Разнообразие магазинов , ПВЗ , школа , садики , поликлиника . Много зелени , хорошие чистые дворы",прекрасное расположение отлично развита инфраструктура разнообразие магазинов пвз школа садики поликлиника зелени хорошие чистые дворы,"хорошие чистые дворы, разнообразие магазинов, прекрасное расположение, поликлиника зелени, школа, садики, инфраструктура","качественных стройматериалов, достопримечательностью подкачали, продолжается благоустройством, благоустройству количеству, производства работавшего, приходится автомобильной, предоставляющая коммунальные, квартире пазогребневой, предусмотренный парковочные, квартиру лесопарковой","['прекрасное расположение отлично', 'хорошие чистые дворы', 'отлично развита инфраструктура', 'инфраструктура разнообразие магазинов', 'магазинов пвз школа', 'пвз школа садики', 'садики поликлиника зелени', 'зелени хорошие', 'дворы', 'отлично']","прекрасное расположение отлично, хорошие чистые дворы, отлично развита инфраструктура, инфраструктура разнообразие магазинов, магазинов пвз школа, пвз школа садики, садики поликлиника зелени, зелени хорошие, дворы, отлично",прекрасное расположение отлично развита инфраструктура разнообразие магазинов пвз школа садики поликлиника зелени хорошие чистые дворы,"прекрасное, расположение, отлично, развита, инфраструктура, разнообразие, магазинов, пвз, школа, садики, поликлиника, зелени, хорошие, чистые, дворы",прекрасное расположение отлично развита инфраструктура разнообразие магазинов пвз школа садики поликлиника зелени хорошие чистые дворы,
Волжский Берег,Нейтральная,Лариса игнатова,Не достроенный район но будет наверно клёво место хорошее рядом лес,достроенный район наверно клёво место хорошее рядом лес,"хорошее лес, достроенный район, место","технологии неряшливое, достопримечательностью подкачали, достопримечательности музеи, главной достопримечательностью, качественных стройматериалов, наилучшие рекомендации, доброжелательные соседи, недоработки домовых, домов многоквартирных, дополнительного образования","['достроенный район наверно', 'район наверно клёво', 'клёво место хорошее', 'лес', 'район', 'клёво']","достроенный район наверно, район наверно клёво, клёво место хорошее, лес, район, клёво",достроенный район наверно клёво место хорошее рядом лес,"достроенный, район, наверно, клёво, место, хорошее, рядом, лес",достроенный район наверно клёво место хорошее рядом лес,
Волжский Берег,Негативная,Артем Луценко,"Стоят в поле два дома, инфраструктура не развита, до ближайших магазинов километра полтора.",стоят поле дома инфраструктура развита ближайших магазинов километра полтора,"поле дома, инфраструктура","продолжается благоустройством, качественных стройматериалов, производства работавшего, достопримечательностью подкачали, благоустройству количеству, малотажного строительства, большинства костромичей, автомобилей квартирах, достопримечательности музеи, приходится автомобильной","['стоят поле дома', 'магазинов километра полтора', 'поле дома инфраструктура', 'инфраструктура развита ближайших', 'развита ближайших магазинов', 'поле', 'дома', 'развита']","стоят поле дома, магазинов километра полтора, поле дома инфраструктура, инфраструктура развита ближайших, развита ближайших магазинов, поле, дома, развита",стоят поле дома инфраструктура развита ближайших магазинов километра полтора,"стоят, поле, дома, инфраструктура, развита, ближайших, магазинов, километра, полтора",стоят поле дома инфраструктура развита ближайших магазинов километра полтора,
Волжский Берег,Положительная,Андрей Филиппов,"Хороший микрорайон. Тихо, несмотря на то, что рядом трасса.",хороший микрорайон тихо несмотря рядом трасса,"хороший микрорайон, трасса","максимально хорошее, микрорайон хочется, микрорайон хорошие, хороший микрорайон, микрорайон хорошей, месторасположение хорошее, привыкать хорошему, микрорайон торговым, благоустройство хорошее, администрации транспортной","['хороший микрорайон тихо', 'микрорайон тихо несмотря', 'несмотря рядом трасса', 'трасса', 'тихо']","хороший микрорайон тихо, микрорайон тихо несмотря, несмотря рядом трасса, трасса, тихо",хороший микрорайон тихо несмотря рядом трасса,"хороший, микрорайон, тихо, несмотря, рядом, трасса",хороший микрорайон тихо несмотря рядом трасса,
Волжский Берег,Положительная,Александр Гребёнкин,"Новый микрорайон, много свободного пространства!",новый микрорайон свободного пространства,новый микрорайон,"недочёты благоустройству, новостройки красиво, непосредственной близости, свободного пространства, настолько понравилось, недостаток парковочных, недоработки домовых, напротив торговый, собственной планировкой, благоустройством никто","['новый микрорайон свободного', 'свободного пространства', 'новый']","новый микрорайон свободного, свободного пространства, новый",новый микрорайон свободного пространства,"новый, микрорайон, свободного, пространства",новый микрорайон свободного пространства,
Волжский Берег,Положительная,Ю.К.,"Новый район, в хорошем месте.",новый район хорошем месте,новый район,"наилучшие рекомендации, недоработки домовых, хошие новостройки, месторасположение новый, некоторые маршруты, ходить неизвестно, новый микрорайон, микрорайон нашем, максимально хорошее, наличием парковочных","['новый район хорошем', 'хорошем месте', 'новый', 'район']","новый район хорошем, хорошем месте, новый, район",новый район хорошем месте,"новый, район, хорошем, месте",новый район хорошем месте,
Волжский Берег,Нейтральная,Марина М.,"Живу в этом районе третий год, так-то все устраивает, кроме дорог((((((",живу районе третий год устраивает кроме дорог,"третий год, район","красивое живописное, живописном красивом, главной достопримечательностью, достаточно живописно, замечания реагируют, учреждения дополнительного, дорогим жильем, забронировать легко, застройщиками городе, разговорам знакомых","['живу районе', 'устраивает кроме дорог', 'дорог']","живу районе, устраивает кроме дорог, дорог",живу районе третий год устраивает кроме дорог,"живу, районе, третий, год, устраивает, кроме, дорог",живу районе третий год устраивает кроме дорог,
Волжский Берег,Положительная,Маринелла,Новый развивающийся будущий микрорайон,новый развивающийся будущий микрорайон,новый развивающийся будущий микрорайон,"новый развивающийся, настоящий муравейник, наилучшие рекомендации, недочёты благоустройству, давыдовский непривычно, невыносимая квартирах, камуникации дворовые, будущий микрорайон, работаю недвижке, развивающийся будущий","['новый развивающийся будущий', 'будущий микрорайон', 'новый']","новый развивающийся будущий, будущий микрорайон, новый",новый развивающийся будущий микрорайон,"новый, развивающийся, будущий, микрорайон",новый развивающийся будущий микрорайон,
Лесной квартал,Положительная,Андрей Лебедев,"Район новый. Есть детский сад, школа . Рядом лес!  Торговый центр солнечный в шаговой доступности.  Я поставил 4 звезды из - за узкой дороги. Только в садик едут около сотни машин. А когда все дома введут в строй, я думаю там ездить будет не айс.",район новый детский сад школа рядом лес торговый центр солнечный шаговой доступности поставил звезды узкой дороги садик едут около сотни машин дома введут строй думаю ездить айс,"сотни машин дома, новый детский сад, торговый центр, школа, строй, садик, район, лес","достопримечательностью подкачали, качественных стройматериалов, давыдовский непривычно, взаимодействие собственниками, предоставляющая коммунальные, давыдовского привыкать, главной достопримечательностью, преимущества слышимость, достопримечательности музеи, недочёты благоустройству","['район новый детский', 'думаю ездить айс', 'детский сад школа', 'лес торговый центр', 'центр солнечный шаговой', 'шаговой доступности поставил', 'поставил звезды узкой', 'звезды узкой дороги', 'дороги садик едут', 'машин дома введут']","район новый детский, думаю ездить айс, детский сад школа, лес торговый центр, центр солнечный шаговой, шаговой доступности поставил, поставил звезды узкой, звезды узкой дороги, дороги садик едут, машин дома введут",район новый детский сад школа рядом лес торговый центр солнечный шаговой доступности поставил звезды узкой дороги садик едут около сотни машин дома введут строй думаю ездить айс,"район, новый, детский, сад, школа, рядом, лес, торговый, центр, солнечный, шаговой, доступности, поставил, звезды, узкой, дороги, садик, едут, около, сотни, машин, дома, введут, строй, думаю, ездить, айс",район новый детский сад школа рядом лес торговый центр солнечный шаговой доступности поставил звезды узкой дороги садик едут около сотни машин дома введут строй думаю ездить айс,
